Simulation 13, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 5 2 0 0 1 0 0 0 5 0 2 0], [0 0 0 0 0 0 2 1 0 4 5 1 0 0 0], [0 0 3 0 4 5 0 0 0 3 0 0 3 5 0], [0 0 3 5 4 5 2 1 0 4 5 5 3 5 0]
Goals Achieved, [0 0 0 5 2 0 0 1 0 0 0 2 0 2 0], [0 0 0 0 0 0 2 1 0 1 4 0 0 0 0], [0 0 3 0 4 5 0 0 0 0 0 0 0 5 0], [0 0 0 0 0 0 0 0 0 3 1 3 9 0 1]

Simulation 18, V_0, V_1, V_2, MP_
Initial Goals, [5 0 1 0 0 0 0 0 0 0], [0 0 0 5 0 0 0 3 0 0], [2 0 2 0 0 0 0 0 0 0], [5 0 2 5 0 0 0 3 0 0]
Goals Achieved, [5 0 0 0 0 0 0 0 0 0], [0 0 0 5 0 0 0 3 0 0], [2 0 0 0 0 0 0 0 0 0], [ 0  9 10  0  0  0  0  0  0  1]

Simulation 7, V_0, V_1, V_2, MP_
Initial Goals, [9 0 2 0 0], [0 0 3 9 0], [0 4 0 0 3], [9 4 3 9 3]
Goals Achieved, [0 0 2 0 0], [0 0 3 9 0], [0 4 0 0 0], [10  0  0  0 10]

Simulation 34, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 0 0 2 0 0 0 0 3 0 0 0 2], [0 0 0 0 2 0 0 5 0 3 0 0 0 0 0], [1 0 0 0 2 0 0 0 0 0 0 0 1 0 0], [1 0 0 0 2 2 0 5 0 3 3 0 1 0 2]
Goals Achieved, [0 0 0 0 0 2 0 0 0 0 0 0 0 0 2], [0 0 0 0 2 0 0 0 0 3 0 0 0 0 0], [1 0 0 0 2 0 0 0 0 0 0 0 1 0 0], [0 1 0 0 0 0 0 5 0 0 9 0 0 0 0]

Simulation 36, V_0, V_1, V_2, MP_
Initial Goals, [0 0 0 1 0 0 0 0 0 3 0 0 0 0 1], [5 2 0 0 0 0 0 0 0 0 0 0 0 0 0], [ 0  4  0  0  0  0  0  0  0 11  0  0  0  0  0], [ 5  4  0  1  0  0  0  0  0 11  0  0  0  0  1]
Goals Achieved, [0 0 0 1 0 0 0 0 0 3 0 0 0 0 1], [5 2 0 0 0 0 0 0 0 0 0 0 0 0 0], [ 0  4  0  0  0  0  0  0  0 11  0  0  0  0  0], [0 0 0 0 0 0 1 0 9 0 1 0 0 0 0]

Simulation 5, V_0, V_1, V_2, MP_
Initial Goals, [18  0  0  0  0], [3 0 0 0 0], [ 0  0  0  0 14], [18  0  0  0 14]
Goals Achieved, [15  0  0  0  0], [0 0 0 0 0], [ 0  0  0  0 14], [3 4 4 5 0]

Simulation 3, V_0, V_1, V_2, MP_
Initial Goals, [9 0 0 0 0], [2 0 0 0 0], [0 0 0 0 7], [9 0 0 0 7]
Goals Achieved, [8 0 0 0 0], [1 0 0 0 0], [0 0 0 0 7], [1 9 0 4 0]

