episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-72010.0,-72010.0,-72010.0,7201.0,1,1,105000,5000,105000,False,14,21,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-00,1666793940,12.448217868804932,175.91813492774963,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,175.91813492774963,105000,21,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8186.244,610.781,0.175,28509407.287,2258.619,2213.742,5.795,105000,105000,105000,5000,105000,49.25,85.78333333333333,500.0,4.76837158203125e-07,4.999999873689376e-05,3.404654,-0.0011220032,3.4185324,-0.16874035,0.0028410333,1.2756126,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,110000,5000,110000,False,15,22,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-08,1666793948,8.509479761123657,184.4276146888733,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,184.4276146888733,110000,22,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8379.194,596.716,0.167,29972159.497,2252.548,2219.709,5.781,110000,110000,110000,5000,110000,37.074999999999996,85.83333333333333,500.0,2.384185791015625e-07,4.999999873689376e-05,2.9194095,-0.0022712986,2.9342117,-0.042682305,0.0031822852,1.2530996,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,115000,5000,115000,False,15,23,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-16,1666793956,7.789309501647949,192.21692419052124,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,192.21692419052124,115000,23,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8373.065,597.153,0.17,29495808.72,2261.025,2211.387,5.974,115000,115000,115000,5000,115000,36.28181818181818,85.53636363636363,500.0,1.1920928955078125e-07,4.999999873689376e-05,2.806222,-0.00072959403,2.8191693,-0.07866719,0.0031693368,1.2217696,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,120000,5000,120000,False,16,24,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-24,1666793964,7.814995527267456,200.0319197177887,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,200.0319197177887,120000,24,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8387.499,596.125,0.171,29232673.543,2263.778,2208.697,5.967,120000,120000,120000,5000,120000,36.445454545454545,85.11818181818182,500.0,5.960464477539063e-08,4.999999873689376e-05,1.7396888,-0.00079620833,1.7525258,0.087142065,0.0025211393,1.20407,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,125000,5000,125000,False,17,25,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-33,1666793973,9.121724128723145,209.15364384651184,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,209.15364384651184,125000,25,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8397.157,595.44,0.174,28814949.162,2389.217,2092.736,6.367,125000,125000,125000,5000,125000,43.80769230769231,85.16923076923078,500.0,2.9802322387695312e-08,4.999999873689376e-05,1.2508533,-0.0013932462,1.2639371,0.16841608,0.0022864048,1.169043,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,130000,5000,130000,False,18,26,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-42,1666793982,8.362379312515259,217.5160231590271,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,217.5160231590271,130000,26,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8591.016,582.003,0.172,29042404.099,2391.664,2090.595,6.397,130000,130000,130000,5000,130000,38.19166666666667,85.26666666666667,500.0,1.4901161193847656e-08,4.999999873689376e-05,1.4093347,-0.0004116394,1.421264,0.38119233,0.0017096542,1.1517655,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,135000,5000,135000,False,18,27,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-50,1666793990,8.457976341247559,225.97399950027466,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,225.97399950027466,135000,27,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8656.463,577.603,0.171,29208245.125,2395.047,2087.641,6.44,135000,135000,135000,5000,135000,36.975,85.18333333333332,500.0,7.450580596923828e-09,4.999999873689376e-05,0.9401176,-0.000466236,0.9519455,0.5392518,0.0021248304,1.1361611,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,140000,5000,140000,False,19,28,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-19-59,1666793999,8.363410711288452,234.3374102115631,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,234.3374102115631,140000,28,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8685.693,575.659,0.17,29429581.813,2428.862,2058.577,6.496,140000,140000,140000,5000,140000,39.25,84.89166666666667,500.0,3.725290298461914e-09,4.999999873689376e-05,0.8274996,0.000558362,0.83837587,0.3798607,0.004262816,1.1434598,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,1,1,145000,5000,145000,False,20,29,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-20-07,1666794007,8.057899475097656,242.39530968666077,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,242.39530968666077,145000,29,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8721.682,573.284,0.168,29831465.149,2428.605,2058.795,6.493,145000,145000,145000,5000,145000,38.141666666666666,84.82499999999997,500.0,1.862645149230957e-09,4.999999873689376e-05,0.9200639,-0.0009238787,0.9323257,0.39199832,0.0037302515,1.133791,0.009999999776482582
-72010.0,-72010.0,-72010.0,7201.0,0,1,150000,5000,150000,False,20,30,b1c0a_00000,19741b99d80c460da5cb15641482f165,2022-10-26_15-20-17,1666794017,10.51207685470581,252.90738654136658,705285,pl-gonzal.cis.strath.ac.uk,172.17.248.57,252.90738654136658,150000,30,8.985057353973389,"[-72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0, -72010.0]","[7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201, 7201]",8913.167,560.968,0.189,26392549.711,2510.175,1991.893,6.544,150000,150000,150000,5000,150000,45.900000000000006,84.89333333333335,500.0,9.313225746154785e-10,4.999999873689376e-05,0.49427423,-0.0011562054,0.50670326,0.34824756,0.0022534898,1.1272874,0.009999999776482582
